"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","Обновление имени объекта","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
"","797","Создание трех объектов","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
"","154","Обновление объекта","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
"","176","Удаление объекта","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
"","213","Получение одного объекта","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
"","1649","Получение всех объектов","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
"","811","Создание трех объектов","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
"","807","Создание трех объектов","","2026-02-26","passed","2026-02-26","","test_hw_21","",""
